vocab,phrase,status,date_added,tags
chitchatted,We chitchatted awhile.,Done,,
cluster,People always cluster in the doorways of the vacant buildings.,Done,,
commandments,,Done,,
companionship,Companionship that i needed there.,Done,,
considerate,Cabbies aren't usually so considerate.,Done,,
dilapidated,A garage that appeared to be even more dilapidated.,Done,,
filled,I filled kelli in a little on my recent adventures.,Done,,
latch,Some of you will latch  onto the statements.,Done,,
perking,"Heck, even riding along with my really strange little cabbie was perking me up.",Done,,
piece of cake,It'd be a piece of cake.,Done,,
profusely,I thanked him profusely.,Done,,
quipped,He quipped.,Done,,
ridge,,Done,,
run-down,Archie's bar is a typical if run-down neighborhood bar.,Done,,
scowl,With what looked like a permanent scowl on his face.,Done,,
vowed,But i vowed to do so as soon as i could the next day.,Done,,
wizened,He was a wizened little brown man.,Done,,
